,RunId,iteration,Step,density,width,height,Umidade,TipoVegetacao,Fine,On Fire,PartiallyBurned,Burned Out,Saved index
497,497,7,20,200,100,100,0.0,0.7000000000000001,0,9,0,9991,0.0
498,498,7,21,200,100,100,0.0,0.8,0,1,0,9999,0.0
499,499,7,20,200,100,100,0.15,0.0,0,33,0,9967,0.0
500,500,7,20,200,100,100,0.0,0.9,0,30,0,9970,0.0
501,501,7,21,200,100,100,0.15,0.1,0,3,0,9997,0.0
502,502,7,21,200,100,100,0.15,0.2,0,8,0,9992,0.0
503,503,7,21,200,100,100,0.15,0.30000000000000004,0,6,0,9994,0.0
504,504,7,21,200,100,100,0.15,0.4,0,10,0,9990,0.0
505,505,7,20,200,100,100,0.15,0.6000000000000001,0,15,0,9985,0.0
506,506,7,21,200,100,100,0.15,0.5,0,4,0,9996,0.0
507,507,7,21,200,100,100,0.15,0.7000000000000001,0,8,0,9992,0.0
508,508,7,21,200,100,100,0.15,0.8,0,3,0,9997,0.0
509,509,7,21,200,100,100,0.15,0.9,0,13,0,9987,0.0
510,510,7,21,200,100,100,0.3,0.0,0,6,0,9994,0.0
511,511,7,22,200,100,100,0.3,0.1,0,1,0,9999,0.0
512,512,7,21,200,100,100,0.3,0.2,0,11,0,9989,0.0
513,513,7,21,200,100,100,0.3,0.30000000000000004,0,1,0,9999,0.0
514,514,7,19,200,100,100,0.3,0.4,0,10,0,9990,0.0
515,515,7,21,200,100,100,0.3,0.5,0,1,0,9999,0.0
516,516,7,21,200,100,100,0.3,0.6000000000000001,0,2,0,9998,0.0
517,517,7,21,200,100,100,0.3,0.7000000000000001,0,6,0,9994,0.0
518,518,7,20,200,100,100,0.3,0.8,0,19,0,9981,0.0
519,519,7,20,200,100,100,0.3,0.9,1,35,0,9964,0.0
520,520,7,20,200,100,100,0.44999999999999996,0.0,0,10,0,9990,0.0
521,521,7,22,200,100,100,0.44999999999999996,0.1,0,1,0,9999,0.0
522,522,7,22,200,100,100,0.44999999999999996,0.2,0,3,6,9991,0.0006001800540162049
523,523,7,24,200,100,100,0.44999999999999996,0.30000000000000004,0,1,10,9989,0.001000100010001
524,524,7,25,200,100,100,0.44999999999999996,0.4,1,12,22,9965,0.0022028637228396915
525,525,7,26,200,100,100,0.44999999999999996,0.5,0,1,45,9954,0.004500450045004501
526,526,7,28,200,100,100,0.44999999999999996,0.6000000000000001,0,7,84,9909,0.008405884118883218
527,527,7,29,200,100,100,0.44999999999999996,0.7000000000000001,1,23,72,9904,0.007217321571772253
528,528,7,21,200,100,100,0.6,0.0,0,1,0,9999,0.0
529,529,7,30,200,100,100,0.44999999999999996,0.8,0,1,100,9899,0.010001000100010001
530,530,7,29,200,100,100,0.44999999999999996,0.9,0,3,80,9917,0.008002400720216065
531,531,7,23,200,100,100,0.6,0.1,0,3,14,9983,0.0014004201260378114
532,532,7,28,200,100,100,0.6,0.2,0,9,53,9938,0.00530477429686718
533,533,7,12,200,100,100,0.6,0.6000000000000001,9273,1,261,465,0.359504132231405
534,534,7,33,200,100,100,0.6,0.30000000000000004,1,3,151,9845,0.015106042416966788
535,535,7,15,200,100,100,0.6,0.8,8765,6,367,862,0.2986167615947925
536,536,7,18,200,100,100,0.6,0.9,8648,7,402,943,0.2988847583643123
537,537,7,35,200,100,100,0.6,0.5,6057,3,795,3145,0.2017766497461929
538,538,7,11,200,100,100,0.75,0.4,8997,2,382,619,0.38161838161838163
539,539,7,20,200,100,100,0.75,0.0,1,12,0,9987,0.0
540,540,7,1,200,100,100,0.75,0.6000000000000001,9750,7,170,73,0.6995884773662552
541,541,7,44,200,100,100,0.6,0.4,85,1,385,9529,0.038833972160580994
542,542,7,39,200,100,100,0.6,0.7000000000000001,7853,6,628,1513,0.2933208780943484
543,543,7,2,200,100,100,0.75,0.9,9744,7,177,72,0.7108433734939759
544,544,7,26,200,100,100,0.75,0.1,0,2,28,9970,0.0028005601120224045
545,545,7,10,200,100,100,0.75,0.5,9512,1,254,233,0.5215605749486653
546,546,7,4,200,100,100,0.75,0.7000000000000001,9658,2,201,139,0.5911764705882353
547,547,7,4,200,100,100,0.75,0.8,9692,4,198,106,0.6513157894736842
548,548,7,2,200,100,100,0.8999999999999999,0.4,9732,11,164,93,0.6381322957198443
549,549,7,1,200,100,100,0.8999999999999999,0.5,9756,18,157,69,0.6946902654867256
550,550,7,6,200,100,100,0.8999999999999999,0.30000000000000004,9439,1,236,324,0.42142857142857143
551,551,7,1,200,100,100,0.8999999999999999,0.7000000000000001,9778,2,168,52,0.7636363636363637
552,552,7,1,200,100,100,0.8999999999999999,0.6000000000000001,9778,5,160,57,0.7373271889400922
553,553,7,1,200,100,100,0.8999999999999999,0.8,9767,2,170,61,0.7359307359307359
554,554,7,1,200,100,100,0.8999999999999999,0.9,9794,1,158,47,0.7707317073170732
555,555,7,35,200,100,100,0.75,0.2,16,5,234,9745,0.02344924341116344
556,556,7,21,200,100,100,0.8999999999999999,0.0,0,1,0,9999,0.0
557,557,8,20,200,100,100,0.0,0.0,0,8,0,9992,0.0
558,558,7,30,200,100,100,0.8999999999999999,0.1,0,2,71,9927,0.007101420284056812
559,559,8,21,200,100,100,0.0,0.1,2,8,0,9990,0.0
560,560,8,19,200,100,100,0.0,0.2,14,70,0,9916,0.0
561,561,8,21,200,100,100,0.0,0.30000000000000004,0,7,0,9993,0.0
562,562,8,21,200,100,100,0.0,0.4,0,2,0,9998,0.0
563,563,8,20,200,100,100,0.0,0.5,0,18,0,9982,0.0
564,564,8,21,200,100,100,0.0,0.7000000000000001,0,5,0,9995,0.0
565,565,8,21,200,100,100,0.0,0.6000000000000001,0,1,0,9999,0.0
566,566,8,21,200,100,100,0.0,0.8,0,8,0,9992,0.0
567,567,8,20,200,100,100,0.0,0.9,2,29,0,9969,0.0
568,568,7,66,200,100,100,0.8999999999999999,0.2,183,1,853,8963,0.08689894050529748
569,569,7,100,200,100,100,0.75,0.30000000000000004,2168,1,1201,6630,0.15336483207764015
570,570,8,20,200,100,100,0.15,0.0,2,47,0,9951,0.0
571,571,8,19,200,100,100,0.15,0.2,1,16,0,9983,0.0
572,572,8,20,200,100,100,0.15,0.1,0,7,0,9993,0.0
573,573,8,21,200,100,100,0.15,0.30000000000000004,0,7,0,9993,0.0
574,574,8,20,200,100,100,0.15,0.4,2,75,0,9923,0.0
575,575,8,21,200,100,100,0.15,0.7000000000000001,0,1,0,9999,0.0
576,576,8,21,200,100,100,0.15,0.6000000000000001,0,2,0,9998,0.0
577,577,8,22,200,100,100,0.15,0.5,0,2,0,9998,0.0
578,578,8,21,200,100,100,0.15,0.8,0,3,0,9997,0.0
579,579,8,20,200,100,100,0.15,0.9,3,16,0,9981,0.0
580,580,8,21,200,100,100,0.3,0.0,0,6,0,9994,0.0
581,581,8,20,200,100,100,0.3,0.1,2,16,0,9982,0.0
582,582,8,20,200,100,100,0.3,0.30000000000000004,0,13,0,9987,0.0
583,583,8,20,200,100,100,0.3,0.2,0,13,0,9987,0.0
584,584,8,21,200,100,100,0.3,0.4,0,1,0,9999,0.0
585,585,8,21,200,100,100,0.3,0.5,0,9,0,9991,0.0
586,586,8,20,200,100,100,0.3,0.6000000000000001,0,26,0,9974,0.0
587,587,8,20,200,100,100,0.3,0.7000000000000001,0,3,0,9997,0.0
588,588,8,22,200,100,100,0.3,0.8,0,2,0,9998,0.0
589,589,8,20,200,100,100,0.44999999999999996,0.0,0,1,0,9999,0.0
590,590,8,21,200,100,100,0.44999999999999996,0.1,0,16,5,9979,0.000500801282051282
591,591,8,21,200,100,100,0.3,0.9,2,26,0,9972,0.0
592,592,8,24,200,100,100,0.44999999999999996,0.2,0,1,3,9996,0.00030003000300030005
593,593,8,24,200,100,100,0.44999999999999996,0.30000000000000004,0,3,16,9981,0.001600480144043213
594,594,8,25,200,100,100,0.44999999999999996,0.4,0,2,51,9947,0.005101020204040808
595,595,8,27,200,100,100,0.44999999999999996,0.5,0,2,48,9950,0.004800960192038408
596,596,8,20,200,100,100,0.6,0.0,2,31,0,9967,0.0
597,597,8,32,200,100,100,0.44999999999999996,0.6000000000000001,0,2,106,9892,0.010602120424084817
598,598,8,31,200,100,100,0.44999999999999996,0.7000000000000001,13,3,123,9861,0.012319711538461538
599,599,8,29,200,100,100,0.44999999999999996,0.8,2,6,119,9873,0.011909527622097679
600,600,8,32,200,100,100,0.44999999999999996,0.9,0,3,93,9904,0.009302790837251175
601,601,8,25,200,100,100,0.6,0.1,0,1,19,9980,0.0019001900190019003
602,602,8,8,200,100,100,0.6,0.6000000000000001,9229,14,291,466,0.3844121532364597
603,603,8,6,200,100,100,0.6,0.7000000000000001,9253,5,255,487,0.3436657681940701
604,604,8,11,200,100,100,0.6,0.8,9134,1,287,578,0.33179190751445087
605,605,8,28,200,100,100,0.6,0.2,0,2,46,9952,0.004600920184036807
606,606,8,15,200,100,100,0.6,0.9,8383,11,481,1125,0.29950186799501866
607,607,8,34,200,100,100,0.6,0.30000000000000004,0,2,182,9816,0.01820364072814563
608,608,8,7,200,100,100,0.75,0.4,9411,1,272,316,0.46258503401360546
609,609,8,20,200,100,100,0.75,0.0,0,38,0,9962,0.0
610,610,8,4,200,100,100,0.75,0.5,9641,2,195,162,0.5462184873949579
611,611,8,3,200,100,100,0.75,0.6000000000000001,9708,1,188,103,0.6460481099656358
612,612,8,3,200,100,100,0.75,0.7000000000000001,9651,3,204,142,0.5895953757225434
613,613,8,26,200,100,100,0.75,0.1,0,2,43,9955,0.004300860172034407
614,614,8,4,200,100,100,0.75,0.8,9648,3,210,139,0.6017191977077364
615,615,8,2,200,100,100,0.75,0.9,9670,2,213,115,0.649390243902439
616,616,8,45,200,100,100,0.6,0.4,130,1,579,9290,0.05866855811125747
617,617,8,33,200,100,100,0.75,0.2,0,3,230,9767,0.023006902070621185
618,618,8,5,200,100,100,0.8999999999999999,0.4,9675,1,207,117,0.6388888888888888
619,619,8,1,200,100,100,0.8999999999999999,0.6000000000000001,9776,3,163,58,0.7375565610859729
620,620,8,63,200,100,100,0.6,0.5,2936,2,1180,5882,0.16709147550269046
621,621,8,3,200,100,100,0.8999999999999999,0.5,9767,6,159,68,0.7004405286343612
622,622,8,14,200,100,100,0.8999999999999999,0.30000000000000004,9017,2,388,593,0.39551478083588176
623,623,8,1,200,100,100,0.8999999999999999,0.8,9771,6,164,59,0.7354260089686099
624,624,8,1,200,100,100,0.8999999999999999,0.7000000000000001,9783,2,164,51,0.7627906976744186
625,625,8,1,200,100,100,0.8999999999999999,0.9,9766,6,169,59,0.7412280701754386
626,626,8,22,200,100,100,0.8999999999999999,0.0,0,1,0,9999,0.0
627,627,8,30,200,100,100,0.8999999999999999,0.1,2,5,79,9914,0.007905533873711599
628,628,8,56,200,100,100,0.75,0.30000000000000004,581,2,1113,8304,0.11819050653074227
629,629,9,21,200,100,100,0.0,0.0,0,5,0,9995,0.0
630,630,9,19,200,100,100,0.0,0.2,2,110,0,9888,0.0
631,631,9,21,200,100,100,0.0,0.1,0,5,0,9995,0.0
632,632,9,20,200,100,100,0.0,0.30000000000000004,0,47,0,9953,0.0
633,633,9,20,200,100,100,0.0,0.4,6,48,0,9946,0.0
634,634,9,21,200,100,100,0.0,0.5,2,25,0,9973,0.0
635,635,8,62,200,100,100,0.8999999999999999,0.2,265,1,836,8898,0.085884528456955
636,636,9,20,200,100,100,0.0,0.6000000000000001,0,37,0,9963,0.0
637,637,9,20,200,100,100,0.0,0.7000000000000001,0,2,0,9998,0.0
638,638,9,20,200,100,100,0.0,0.9,0,7,0,9993,0.0
639,639,9,20,200,100,100,0.0,0.8,0,1,0,9999,0.0
640,640,9,19,200,100,100,0.15,0.0,6,39,0,9955,0.0
641,641,9,20,200,100,100,0.15,0.1,6,49,0,9945,0.0
642,642,9,20,200,100,100,0.15,0.2,0,5,0,9995,0.0
643,643,9,20,200,100,100,0.15,0.30000000000000004,0,8,0,9992,0.0
644,644,9,20,200,100,100,0.15,0.5,0,3,0,9997,0.0
645,645,9,22,200,100,100,0.15,0.4,0,1,0,9999,0.0
646,646,9,21,200,100,100,0.15,0.6000000000000001,0,1,0,9999,0.0
647,647,9,20,200,100,100,0.15,0.7000000000000001,5,27,0,9968,0.0
648,648,9,21,200,100,100,0.15,0.8,0,2,0,9998,0.0
649,649,9,20,200,100,100,0.15,0.9,0,12,0,9988,0.0
650,650,9,19,200,100,100,0.3,0.0,0,10,0,9990,0.0
651,651,9,21,200,100,100,0.3,0.1,0,7,0,9993,0.0
652,652,9,21,200,100,100,0.3,0.2,0,7,0,9993,0.0
653,653,9,20,200,100,100,0.3,0.30000000000000004,0,31,0,9969,0.0
654,654,9,20,200,100,100,0.3,0.4,0,1,0,9999,0.0
655,655,9,21,200,100,100,0.3,0.6000000000000001,0,3,0,9997,0.0
656,656,9,21,200,100,100,0.3,0.5,0,1,0,9999,0.0
657,657,9,21,200,100,100,0.3,0.7000000000000001,0,3,0,9997,0.0
658,658,9,21,200,100,100,0.3,0.8,0,1,0,9999,0.0
659,659,9,20,200,100,100,0.3,0.9,1,18,0,9981,0.0
660,660,9,21,200,100,100,0.44999999999999996,0.0,0,4,0,9996,0.0
661,661,9,23,200,100,100,0.44999999999999996,0.1,0,2,2,9996,0.00020004000800160032
662,662,9,23,200,100,100,0.44999999999999996,0.2,0,1,8,9991,0.0008000800080008001
663,663,9,24,200,100,100,0.44999999999999996,0.30000000000000004,0,1,17,9982,0.0017001700170017002
664,664,9,25,200,100,100,0.44999999999999996,0.4,0,10,18,9972,0.0018018018018018018
665,665,9,29,200,100,100,0.44999999999999996,0.5,0,2,61,9937,0.00610122024404881
666,666,9,30,200,100,100,0.44999999999999996,0.6000000000000001,0,5,44,9951,0.004402201100550275
667,667,9,21,200,100,100,0.6,0.0,0,6,0,9994,0.0
668,668,9,27,200,100,100,0.44999999999999996,0.8,0,3,76,9921,0.007602280684205261
669,669,9,23,200,100,100,0.6,0.1,0,8,14,9978,0.0014011208967173738
670,670,9,31,200,100,100,0.44999999999999996,0.7000000000000001,2,1,98,9899,0.00980294088226468
671,671,9,28,200,100,100,0.44999999999999996,0.9,0,12,65,9923,0.006507809371245494
672,672,9,27,200,100,100,0.6,0.2,0,5,45,9950,0.004502251125562781
673,673,9,9,200,100,100,0.6,0.6000000000000001,9016,1,340,643,0.34587995930824006
674,674,9,9,200,100,100,0.6,0.8,9347,3,239,411,0.3676923076923077
675,675,9,13,200,100,100,0.6,0.7000000000000001,8800,1,459,740,0.38281901584653877
676,676,9,9,200,100,100,0.6,0.9,9477,2,258,263,0.4952015355086372
677,677,9,34,200,100,100,0.6,0.30000000000000004,5,2,180,9813,0.018012608826178327
